S3 URI,catetory,tags,result,new catetory,new tags,Input Tokens,Output Tokens
"s3://video-classify/35740d6cf7dd4c63b0945377ef16f71d.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Vlog & Daily Life"", ""catetory3"": [""Cute Pets"", ""Daily Journals""], ""weight"": {""Lifestyle"": 90, ""Vlog & Daily Life"": 85, ""Cute Pets"": 80, ""Daily Journals"": 75}}]","[{""tag"": ""Cat"", ""scores"": 100}, {""tag"": ""Backpack"", ""scores"": 95}, {""tag"": ""Beach walk"", ""scores"": 90}, {""tag"": ""Leash"", ""scores"": 85}, {""tag"": ""Kite"", ""scores"": 80}, {""tag"": ""Pet owner"", ""scores"": 75}]","20013","434"
"s3://video-classify/8ae0df87146840bdbfada47f534c4ce3.mp4","","","","[{""catetory1"": ""Technology"", ""catetory2"": ""Software & Development"", ""catetory3"": [""Programming Languages & Development Techniques"", ""Operating Systems & Development Tools""], ""weight"": {""Technology"": 85, ""Software & Development"": 80, ""Programming Languages & Development Techniques"": 75, ""Tech Tutorials & Tips"": 78}}]","[{""tag"": ""educational"", ""scores"": 95}, {""tag"": ""music"", ""scores"": 90}, {""tag"": ""Chinese"", ""scores"": 85}, {""tag"": ""tutorial"", ""scores"": 80}, {""tag"": ""game"", ""scores"": 75}]","17587","303"
"s3://video-classify/86640c1687cb4c49b25bcf14e7210dcf.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Variety Shows"", ""catetory3"": [""Show Updates"", ""Popular Show Analysis & Recommendations""], ""weight"": {""Entertainment"": 85, ""Variety Shows"": 80, ""Show Updates"": 75, ""Popular Show Analysis & Recommendations"": 72}}, {""catetory1"": ""Entertainment"", ""catetory2"": ""Music"", ""catetory3"": [""Music Performances & Tours"", ""Music Awards & Ceremonies""], ""weight"": {""Entertainment"": 78, ""Music"": 75, ""Music Performances & Tours"": 70, ""Music Awards & Ceremonies"": 68}}]","[{""tag"": ""performance"", ""scores"": 100}, {""tag"": ""music"", ""scores"": 95}, {""tag"": ""show"", ""scores"": 90}, {""tag"": ""award"", ""scores"": 85}, {""tag"": ""tour"", ""scores"": 80}]","19996","495"
"s3://video-classify/9ce0966fb2004a739f468d8c2b548f1e.mp4","","","","[{""catetory1"": ""Economy & Business"", ""catetory2"": ""Companies & Enterprises"", ""catetory3"": [""Corporate News & Events"", ""Mergers & Acquisitions""], ""weight"": {""Economy & Business"": 70, ""Companies & Enterprises"": 65, ""Corporate News & Events"": 60, ""Mergers & Acquisitions"": 58}}, {""catetory1"": ""Technology"", ""catetory2"": ""Hardware & Devices"", ""catetory3"": [""Smartphones & Smart Devices"", ""Computer Hardware & Components""], ""weight"": {""Technology"": 85, ""Hardware & Devices"": 80, ""Smartphones & Smart Devices"": 75, ""Computer Hardware & Components"": 72}}]","[{""tag"": ""transaction"", ""scores"": 95}, {""tag"": ""business"", ""scores"": 90}, {""tag"": ""communication"", ""scores"": 85}, {""tag"": ""office"", ""scores"": 80}, {""tag"": ""interaction"", ""scores"": 75}]","20061","571"
"s3://video-classify/7ec9ecbd6a664d7e835ed4c3d37348b7.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Vlog & Daily Life"", ""catetory3"": [""Daily Journals"", ""Food Experiences"", ""Cute Pets""], ""weight"": {""Lifestyle"": 80, ""Vlog & Daily Life"": 75, ""Daily Journals"": 70, ""Food Experiences"": 65, ""Cute Pets"": 60}}, {""catetory1"": ""Entertainment"", ""catetory2"": ""Comics & Animation"", ""catetory3"": [""Japanese Animation"", ""Animation Editing & Analysis""], ""weight"": {""Entertainment"": 70, ""Comics & Animation"": 65, ""Japanese Animation"": 60, ""Animation Editing & Analysis"": 55}}]","[{""tag"": ""cat"", ""scores"": 100}, {""tag"": ""reading"", ""scores"": 90}, {""tag"": ""sleeping"", ""scores"": 80}, {""tag"": ""helmet"", ""scores"": 70}, {""tag"": ""kitchen"", ""scores"": 60}]","20048","554"
"s3://video-classify/720b6840096b4bb1867d701efa36ee33.mp4","","","","[{""catetory1"": ""Economy & Business"", ""catetory2"": ""Industry News"", ""catetory3"": [""Manufacturing & Industrial News"", ""Energy & Environmental Industry""], ""weight"": {""Economy & Business"": 60, ""Industry News"": 55, ""Manufacturing & Industrial News"": 50, ""Food & Beverage Industry"": 52}}, {""catetory1"": ""Lifestyle"", ""catetory2"": ""Food & Cooking"", ""catetory3"": [""Cooking Tutorials & Recipes"", ""Food Spot Reviews & Evaluations""], ""weight"": {""Lifestyle"": 70, ""Food & Cooking"": 65, ""Cooking Tutorials & Recipes"": 60, ""Food Spot Reviews & Evaluations"": 62}}]","[{""tag"": ""meat shop"", ""scores"": 90}, {""tag"": ""Chinese market"", ""scores"": 85}, {""tag"": ""food shopping"", ""scores"": 80}, {""tag"": ""Chinese characters"", ""scores"": 75}, {""tag"": ""plastic bag"", ""scores"": 70}]","19937","452"
"s3://video-classify/cc04422cdd814cc6bf9731bce16530a6.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Fashion & Beauty"", ""catetory3"": [""Hairstyles & Care"", ""Luxury & Brand Trends""], ""weight"": {""Lifestyle"": 80, ""Fashion & Beauty"": 75, ""Hairstyles & Care"": 70, ""Luxury & Brand Trends"": 68}}]","[{""tag"": ""red hair"", ""scores"": 100}, {""tag"": ""hair dye"", ""scores"": 90}, {""tag"": ""salon"", ""scores"": 85}, {""tag"": ""windy"", ""scores"": 80}, {""tag"": ""posing"", ""scores"": 75}]","19897","306"
"s3://video-classify/c2867b198c4c4831a8a019c7461ae5de.mp4","","","","[{""catetory1"": ""Science & Nature"", ""catetory2"": ""Natural Sciences"", ""catetory3"": [""Astronomy & Space Exploration"", ""Physics & Chemistry""], ""weight"": {""Food & Cooking"": 90, ""Cooking Tutorials & Recipes"": 85, ""Food Spot Reviews & Evaluations"": 80, ""Creative Food & DIY"": 78}}]","[{""tag"": ""food"", ""scores"": 100}, {""tag"": ""cooking"", ""scores"": 95}, {""tag"": ""recipe"", ""scores"": 90}, {""tag"": ""dessert"", ""scores"": 85}, {""tag"": ""fruit"", ""scores"": 80}]","20097","514"
"s3://video-classify/eb2d3f735a634aee98aeb636428b5166.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Variety Shows"", ""catetory3"": [""Show Updates"", ""Popular Show Analysis & Recommendations""], ""weight"": {""Entertainment"": 90, ""Variety Shows"": 85, ""Show Updates"": 80, ""Popular Show Analysis & Recommendations"": 75}}]","[{""tag"": ""Chinese variety show"", ""scores"": 95}, {""tag"": ""comedy"", ""scores"": 90}, {""tag"": ""group interaction"", ""scores"": 85}, {""tag"": ""funny"", ""scores"": 80}, {""tag"": ""captions"", ""scores"": 75}]","20212","619"
"s3://video-classify/d2466ceefa3d41bd926ba56f046a8a5e.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Family & Parenting"", ""catetory3"": [""Maternity & Baby Care"", ""Family Health & Well-being""], ""weight"": {""Lifestyle"": 90, ""Family & Parenting"": 85, ""Maternity & Baby Care"": 80, ""Family Health & Well-being"": 78}}]","[{""tag"": ""baby"", ""scores"": 100}, {""tag"": ""family"", ""scores"": 95}, {""tag"": ""newborn"", ""scores"": 90}, {""tag"": ""parenthood"", ""scores"": 85}, {""tag"": ""hospital"", ""scores"": 80}]","20097","513"
"s3://video-classify/3ca0298d25f04787b9dd9325c8cf65ed.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Appearance & Image"", ""catetory3"": [""Celebrity & Influencer Image Showcases"", ""Styling & Fashion Runway""], ""weight"": {""Entertainment"": 90, ""Appearance & Image"": 85, ""Celebrity & Influencer Image Showcases"": 80, ""Styling & Fashion Runway"": 78}}]","[{""tag"": ""fashion"", ""scores"": 100}, {""tag"": ""traditional attire"", ""scores"": 90}, {""tag"": ""cultural heritage"", ""scores"": 85}, {""tag"": ""kimono"", ""scores"": 80}, {""tag"": ""Japanese culture"", ""scores"": 75}]","15309","331"
"s3://video-classify/4deb3c92535f49fa90edf3cfacdf1b6d.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Appearance & Image"", ""catetory3"": [""Celebrity & Influencer Image Showcases"", ""Styling & Fashion Runway""], ""weight"": {""Entertainment"": 90, ""Appearance & Image"": 85, ""Celebrity & Influencer Image Showcases"": 80, ""Styling & Fashion Runway"": 78}}]","[{""tag"": ""fashion"", ""scores"": 95}, {""tag"": ""style"", ""scores"": 90}, {""tag"": ""costume"", ""scores"": 85}, {""tag"": ""frog mascot"", ""scores"": 80}, {""tag"": ""black dress"", ""scores"": 75}]","8472","408"
