S3 URI,catetory,tags,result,new catetory,new tags,Input Tokens,Output Tokens
"s3://video-classify/35740d6cf7dd4c63b0945377ef16f71d.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Vlog & Daily Life"", ""catetory3"": [""Cute Pets""], ""weight"": {""Lifestyle"": 80, ""Vlog & Daily Life"": 75, ""Cute Pets"": 85}}, {""catetory1"": ""Health & Lifestyle"", ""catetory2"": ""Health Management & Lifestyle"", ""catetory3"": [""Healthy Lifestyle Recommendations""], ""weight"": {""Health & Lifestyle"": 70, ""Health Management & Lifestyle"": 65, ""Healthy Lifestyle Recommendations"": 70}}]","[{""tag"": ""cat"", ""scores"": 90}, {""tag"": ""beach"", ""scores"": 80}, {""tag"": ""travel"", ""scores"": 70}, {""tag"": ""pets"", ""scores"": 85}, {""tag"": ""lifestyle"", ""scores"": 75}]","11646","263"
"s3://video-classify/8ae0df87146840bdbfada47f534c4ce3.mp4","","","","[{""catetory1"": ""Education"", ""catetory2"": ""Basic Education"", ""catetory3"": [""Teaching Methods & Materials""], ""weight"": {""Education"": 80, ""Basic Education"": 75, ""Teaching Methods & Materials"": 70}}]","[{""tag"": ""language learning"", ""scores"": 90}, {""tag"": ""Chinese"", ""scores"": 85}, {""tag"": ""pronunciation"", ""scores"": 80}, {""tag"": ""instructional video"", ""scores"": 75}, {""tag"": ""educational content"", ""scores"": 70}]","10494","190"
"s3://video-classify/86640c1687cb4c49b25bcf14e7210dcf.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Variety Shows"", ""catetory3"": [""Show Updates"", ""Behind-the-Scenes Highlights""], ""weight"": {""Entertainment"": 80, ""Variety Shows"": 75, ""Show Updates"": 70, ""Behind-the-Scenes Highlights"": 65}}]","[{""tag"": ""variety show"", ""scores"": 90}, {""tag"": ""behind the scenes"", ""scores"": 85}, {""tag"": ""performance"", ""scores"": 80}, {""tag"": ""kids"", ""scores"": 75}, {""tag"": ""cultural event"", ""scores"": 70}]","11646","208"
"s3://video-classify/9ce0966fb2004a739f468d8c2b548f1e.mp4","","","","[{""catetory1"": ""Current Affairs & Politics"", ""catetory2"": ""Domestic Politics"", ""catetory3"": [""Government Policies & Reforms"", ""Leadership Updates""], ""weight"": {""Current Affairs & Politics"": 80, ""Domestic Politics"": 75, ""Government Policies & Reforms"": 70, ""Leadership Updates"": 65}}]","[{""tag"": ""government"", ""scores"": 90}, {""tag"": ""policy"", ""scores"": 85}, {""tag"": ""leadership"", ""scores"": 80}, {""tag"": ""reform"", ""scores"": 75}, {""tag"": ""politics"", ""scores"": 70}]","11646","204"
"s3://video-classify/7ec9ecbd6a664d7e835ed4c3d37348b7.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Comics & Animation"", ""catetory3"": [""Japanese Animation"", ""Characters & Cosplay""], ""weight"": {""Entertainment"": 80, ""Comics & Animation"": 75, ""Japanese Animation"": 70, ""Characters & Cosplay"": 65}}, {""catetory1"": ""Lifestyle"", ""catetory2"": ""Vlog & Daily Life"", ""catetory3"": [""Daily Journals"", ""Cute Pets""], ""weight"": {""Lifestyle"": 75, ""Vlog & Daily Life"": 70, ""Daily Journals"": 65, ""Cute Pets"": 60}}]","[{""tag"": ""anime"", ""scores"": 90}, {""tag"": ""cosplay"", ""scores"": 85}, {""tag"": ""daily life"", ""scores"": 80}, {""tag"": ""pets"", ""scores"": 75}, {""tag"": ""vlog"", ""scores"": 70}]","11646","290"
"s3://video-classify/720b6840096b4bb1867d701efa36ee33.mp4","","","","[{""catetory1"": ""Local News"", ""catetory2"": ""Events & Emergencies"", ""catetory3"": [""Local Emergencies & Accidents"", ""Festivals & Activities""], ""weight"": {""Local News"": 80, ""Events & Emergencies"": 75, ""Local Emergencies & Accidents"": 70, ""Festivals & Activities"": 65}}, {""catetory1"": ""Lifestyle"", ""catetory2"": ""Food & Cooking"", ""catetory3"": [""Cooking Tutorials & Recipes"", ""Food Spot Reviews & Evaluations""], ""weight"": {""Lifestyle"": 75, ""Food & Cooking"": 70, ""Cooking Tutorials & Recipes"": 65, ""Food Spot Reviews & Evaluations"": 60}}]","[{""tag"": ""market"", ""scores"": 80}, {""tag"": ""food"", ""scores"": 75}, {""tag"": ""shopping"", ""scores"": 70}, {""tag"": ""meat"", ""scores"": 65}, {""tag"": ""price"", ""scores"": 60}]","11646","297"
"s3://video-classify/3ca0298d25f04787b9dd9325c8cf65ed.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Appearance & Image"", ""catetory3"": [""Celebrity & Influencer Image Showcases"", ""Styling & Fashion Runway""], ""weight"": {""Entertainment"": 80, ""Appearance & Image"": 75, ""Celebrity & Influencer Image Showcases"": 70, ""Styling & Fashion Runway"": 65}}]","[{""tag"": ""cosplay"", ""scores"": 90}, {""tag"": ""traditional clothing"", ""scores"": 85}, {""tag"": ""fashion"", ""scores"": 80}, {""tag"": ""cultural attire"", ""scores"": 75}, {""tag"": ""photography"", ""scores"": 70}]","9342","209"
"s3://video-classify/49ad6aef12ed43d3b68f00bb5c32eeac.mp4","","","","[{""catetory1"": ""Local News"", ""catetory2"": ""Events & Emergencies"", ""catetory3"": [""Festivals & Activities"", ""Community & Local News""], ""weight"": {""Local News"": 80, ""Events & Emergencies"": 75, ""Festivals & Activities"": 70, ""Community & Local News"": 65}}]","[{""tag"": ""market"", ""scores"": 90}, {""tag"": ""fish"", ""scores"": 85}, {""tag"": ""community"", ""scores"": 80}, {""tag"": ""local"", ""scores"": 75}, {""tag"": ""food"", ""scores"": 70}]","11646","204"
"s3://video-classify/bc7ef75f39244f6dbc01c1d506f47e96.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Comics & Animation"", ""catetory3"": [""Japanese Animation"", ""Characters & Cosplay""], ""weight"": {""Entertainment"": 80, ""Comics & Animation"": 75, ""Japanese Animation"": 70, ""Characters & Cosplay"": 65}}, {""catetory1"": ""Lifestyle"", ""catetory2"": ""Vlog & Daily Life"", ""catetory3"": [""Cute Pets""], ""weight"": {""Lifestyle"": 70, ""Vlog & Daily Life"": 65, ""Cute Pets"": 60}}]","[{""tag"": ""cat"", ""scores"": 90}, {""tag"": ""pet"", ""scores"": 85}, {""tag"": ""animation"", ""scores"": 80}, {""tag"": ""daily life"", ""scores"": 75}, {""tag"": ""cozy"", ""scores"": 70}]","11646","276"
"s3://video-classify/33e784393507417abda7e4c52deed60f.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Appearance & Image"", ""catetory3"": [""Celebrity & Influencer Image Showcases"", ""Styling & Fashion Runway""], ""weight"": {""Entertainment"": 80, ""Appearance & Image"": 75, ""Celebrity & Influencer Image Showcases"": 70, ""Styling & Fashion Runway"": 65}}]","[{""tag"": ""fashion"", ""scores"": 90}, {""tag"": ""model"", ""scores"": 85}, {""tag"": ""transformation"", ""scores"": 80}, {""tag"": ""style"", ""scores"": 75}, {""tag"": ""celebrity"", ""scores"": 70}]","5886","206"
"s3://video-classify/545d7b1aa5324aef92784e78e192c343.mp4","","","","[{""catetory1"": ""Education"", ""catetory2"": ""Basic Education"", ""catetory3"": [""Teaching Methods & Materials""], ""weight"": {""Education"": 80, ""Basic Education"": 75, ""Teaching Methods & Materials"": 70}}]","[{""tag"": ""Chinese language"", ""scores"": 90}, {""tag"": ""textbook"", ""scores"": 85}, {""tag"": ""reading"", ""scores"": 80}, {""tag"": ""learning"", ""scores"": 75}, {""tag"": ""education"", ""scores"": 70}]","11646","185"
"s3://video-classify/35740d6cf7dd4c63b0945377ef16f71d.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Food & Cooking"", ""catetory3"": [], ""weight"": {""Lifestyle"": 80, ""Pets"": 75}}]","[{""tag"": ""cat"", ""scores"": 90}, {""tag"": ""beach"", ""scores"": 80}, {""tag"": ""travel"", ""scores"": 70}, {""tag"": ""adventure"", ""scores"": 60}, {""tag"": ""fun"", ""scores"": 50}]","11646","167"
"s3://video-classify/cc04422cdd814cc6bf9731bce16530a6.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Fashion & Beauty"", ""catetory3"": [""Hairstyles & Care"", ""Makeup & Beauty Tips""], ""weight"": {""Lifestyle"": 80, ""Fashion & Beauty"": 75, ""Hairstyles & Care"": 70, ""Makeup & Beauty Tips"": 65}}]","[{""tag"": ""hairstyle"", ""scores"": 90}, {""tag"": ""beauty"", ""scores"": 85}, {""tag"": ""makeup"", ""scores"": 80}, {""tag"": ""fashion"", ""scores"": 75}, {""tag"": ""transformation"", ""scores"": 70}]","11646","206"
"s3://video-classify/c2867b198c4c4831a8a019c7461ae5de.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Food & Cooking"", ""catetory3"": [""Cooking Tutorials & Recipes"", ""Food Culture & History""], ""weight"": {""Lifestyle"": 80, ""Food & Cooking"": 75, ""Cooking Tutorials & Recipes"": 70, ""Food Culture & History"": 65}}]","[{""tag"": ""recipe"", ""scores"": 90}, {""tag"": ""dessert"", ""scores"": 85}, {""tag"": ""healthy eating"", ""scores"": 80}, {""tag"": ""fruit"", ""scores"": 75}, {""tag"": ""summer treat"", ""scores"": 70}]","11646","205"
"s3://video-classify/4deb3c92535f49fa90edf3cfacdf1b6d.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Appearance & Image"", ""catetory3"": [""Celebrity & Influencer Image Showcases"", ""Styling & Fashion Runway""], ""weight"": {""Entertainment"": 80, ""Appearance & Image"": 75, ""Celebrity & Influencer Image Showcases"": 70, ""Styling & Fashion Runway"": 68}}]","[{""tag"": ""fashion"", ""scores"": 90}, {""tag"": ""model"", ""scores"": 85}, {""tag"": ""style"", ""scores"": 80}, {""tag"": ""celebrity"", ""scores"": 75}, {""tag"": ""runway"", ""scores"": 70}]","5886","207"
"s3://video-classify/e0f3039c6f464df58a48ba474e746f55.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Food & Cooking"", ""catetory3"": [""Cooking Tutorials & Recipes"", ""Food Spot Reviews & Evaluations""], ""weight"": {""Lifestyle"": 80, ""Food & Cooking"": 75, ""Cooking Tutorials & Recipes"": 70, ""Food Spot Reviews & Evaluations"": 65}}]","[{""tag"": ""cooking"", ""scores"": 90}, {""tag"": ""grilling"", ""scores"": 85}, {""tag"": ""barbecue"", ""scores"": 80}, {""tag"": ""meat"", ""scores"": 75}, {""tag"": ""vegetables"", ""scores"": 70}]","11646","210"
"s3://video-classify/aa467322d41641f4b90ec8c4f362a1b2.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Funny"", ""catetory3"": [""Short Skits & Situational Comedy"", ""Viral Memes & Jokes""], ""weight"": {""Entertainment"": 80, ""Funny"": 75, ""Short Skits & Situational Comedy"": 70, ""Viral Memes & Jokes"": 68}}, {""catetory1"": ""Lifestyle"", ""catetory2"": ""Vlog & Daily Life"", ""catetory3"": [""Cute Pets""], ""weight"": {""Lifestyle"": 75, ""Vlog & Daily Life"": 70, ""Cute Pets"": 65}}]","[{""tag"": ""hamster"", ""scores"": 90}, {""tag"": ""funny"", ""scores"": 85}, {""tag"": ""cute"", ""scores"": 80}, {""tag"": ""pets"", ""scores"": 75}, {""tag"": ""vlog"", ""scores"": 70}]","11646","284"
"s3://video-classify/eb2d3f735a634aee98aeb636428b5166.mp4","","","","[{""catetory1"": ""Entertainment"", ""catetory2"": ""Variety Shows"", ""catetory3"": [""Show Updates"", ""Behind-the-Scenes Highlights""], ""weight"": {""Entertainment"": 80, ""Variety Shows"": 75, ""Show Updates"": 70, ""Behind-the-Scenes Highlights"": 65}}]","[{""tag"": ""variety show"", ""scores"": 90}, {""tag"": ""behind the scenes"", ""scores"": 85}, {""tag"": ""Chinese entertainment"", ""scores"": 80}, {""tag"": ""celebrity interaction"", ""scores"": 75}, {""tag"": ""show highlights"", ""scores"": 70}]","11646","210"
"s3://video-classify/4dcecfb162a443569299f195bb79c1b3.mp4","","","","[{""catetory1"": ""Lifestyle"", ""catetory2"": ""Fashion & Beauty"", ""catetory3"": [""Makeup & Beauty Tips"", ""Hairstyles & Care""], ""weight"": {""Lifestyle"": 80, ""Fashion & Beauty"": 75, ""Makeup & Beauty Tips"": 70, ""Hairstyles & Care"": 65}}]","[{""tag"": ""makeup"", ""scores"": 90}, {""tag"": ""beauty"", ""scores"": 85}, {""tag"": ""eyeliner"", ""scores"": 80}, {""tag"": ""hairstyle"", ""scores"": 75}, {""tag"": ""model"", ""scores"": 70}]","8190","207"
"s3://video-classify/d9901de09e17466b992fb986d9c1fd7e.mp4","","","","[{""catetory1"": ""Local News"", ""catetory2"": ""Events & Emergencies"", ""catetory3"": [""Local Emergencies & Accidents""], ""weight"": {""Local News"": 80, ""Events & Emergencies"": 75, ""Local Emergencies & Accidents"": 70}}]","[{""tag"": ""accident"", ""scores"": 90}, {""tag"": ""truck"", ""scores"": 85}, {""tag"": ""delivery"", ""scores"": 80}, {""tag"": ""road"", ""scores"": 75}, {""tag"": ""incident"", ""scores"": 70}]","11646","187"
